id,title,authority,industry,status,summary
"","Antitrust Investigation of Tech Corp 1","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 2","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 3","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 4","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 5","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 6","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 7","European Commission","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 8","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 9","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 10","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 11","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 12","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 13","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 14","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 15","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 16","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 17","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 18","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 19","European Commission","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 20","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 21","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 22","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 23","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 24","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 25","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 26","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 27","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 28","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 29","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 30","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 31","European Commission","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 32","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 33","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 34","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 35","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 36","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 37","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 38","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 39","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 40","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 41","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 42","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 43","European Commission","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 44","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 45","European Commission","Telecommunications","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 46","FTC","Digital Markets","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 47","European Commission","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 48","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 49","European Commission","Digital Markets","Fined","In depth antitrust investigation regarding alleged anti-competitive practices."
"","Antitrust Investigation of Tech Corp 50","FTC","Telecommunications","In Progress","In depth antitrust investigation regarding alleged anti-competitive practices."